task_id,phase,task_code,title,description,status,priority,depends_on,estimated_hours,actual_hours,date_started,date_completed,notes
1,0,0.1.1,Studio struct/numpy binari,Ripassare struct.unpack numpy.fromfile numpy.frombuffer per file binari,done,high,,2,3,2026-03-17,2026-03-19,Acquisito in pratica: FRAME_EXT_DTYPE con 12 campi strutturati + np.memmap su file reale da 50MB. Skill dimostrata in task 1.2.1 (dtypes.py) 1.3.1-1.3.2 (reverse eng struttura frame). Nessuno studio formale necessario — appreso per costruzione.
2,0,0.1.2,Studio scipy signal processing,Ripassare find_peaks filtri Butterworth sosfiltfilt,done,high,,2,1,2026-03-17,2026-03-19,Basi teoriche consolidate durante progettazione preprocessing (Fase 4). Implementazione pratica avviene in task 4.1.1 (Butterworth) e 4.10.2 (find_peaks). Studio formale non serve prima — si impara costruendo.
3,0,0.1.3,Lettura documentazione Plotly.js,Panoramica Plotly.js per visualizzazioni future,todo,low,,1,,,,Non bloccante
4,0,0.2.1,Creare repo GitHub,Creare repository eit-clinical su GitHub,done,high,,0.5,,2026-03-17,2026-03-17,Repository fastEIT creata su GitHub con LICENSE Apache-2.0 e README placeholder
5,0,0.2.2,Struttura directory progetto,Creare tutta la struttura src/eitclinical/ con tutti i moduli vuoti __init__.py,done,high,4,1,,2026-03-17,2026-03-17,Struttura completa con placeholder e TODO per ogni modulo
6,0,0.2.3,Creare directory docs e notebooks,docs/ docs/reverse_eng/ notebooks/ con file placeholder,done,medium,4,0.5,,2026-03-17,2026-03-17,docs/eidors_analysis.md + docs/eit_format.md + reverse_eng/ + notebooks/ creati
7,0,0.3.1,Configurare pyproject.toml,Dependencies numpy scipy pandas pyarrow matplotlib h5py + dev deps,done,high,5,1,,2026-03-17,2026-03-17,hatchling build; core + [pyeit] + [dev] deps; pytest markers; ruff py310
8,0,0.3.2,Configurare optional dependencies,[pyeit] per compatibilità [dev] per test,todo,low,7,0.5,,,,
9,0,0.4.1,Workflow test.yml,GitHub Actions pytest Python 3.10 3.11 3.12,done,high,7,1,,2026-03-17,2026-03-17,.github/workflows/test.yml creato — matrix 3.10/3.11/3.12 pip install -e .[dev] pytest tests/ -v
10,0,0.4.2,Workflow lint.yml,GitHub Actions ruff linting,done,medium,7,0.5,,2026-03-17,2026-03-17,.github/workflows/lint.yml creato — ruff check src/ tests/ + ruff format --check
